attr-fabric,attr-ideal-for,attr-number-of-contents-in-sales-package,attr-pattern,attr-style-code,attr-type,category-0,category-1,category-2,category-3,category-4,category-5,imageUrl,maker,product,productId,product_url,retail_price,uniq_id
Polyester,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Yepme Dresses,http://img5a.flixcart.com/image/dress/x/w/s/39327-yepme-s-1100x1360-imadz7q2hvdmkb76.jpeg,,Yepme Women's Gathered Dress,cb235b669dbf76d72ab1608a01ff61db,http://www.flipkart.com/yepme-women-s-gathered-dress/p/itmdz7f5ygrzkpev?pid=DREDZ7F5H5WNGXWS,1799,cb235b669dbf76d72ab1608a01ff61db
Cotton,Women's,Pack of 1,Printed,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Life by Shoppers Stop Dresses,http://img6a.flixcart.com/image/dress/p/m/a/1-1-9140936-9308-life-by-shoppers-stop-m-original-imaec5zg5rdbeq7y.jpeg,,Life by Shoppers Stop Women's Gathered Dress,2ceb2d87255820d363a85e78d39c30a1,http://www.flipkart.com/life-shoppers-stop-women-s-gathered-dress/p/itmec88ywhncbzmu?pid=DREEC88Y2VMRM5CG,1399,2ceb2d87255820d363a85e78d39c30a1
Poly Ggt,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Calgari Dresses,http://img6a.flixcart.com/image/dress/r/k/n/1-1-cwd-639-r-blue-calgari-m-original-imaecgszpadhvvva.jpeg,,Calgari Women's Gathered Dress,1de462dc46412f4fe577e94027b40f1b,http://www.flipkart.com/calgari-women-s-gathered-dress/p/itmecj64y4zcf4jc?pid=DREECJ646MJSPRKN,1799,1de462dc46412f4fe577e94027b40f1b
Cotton,Women's,Pack of 1,Printed,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Dumdaar.com Dresses,http://img6a.flixcart.com/image/dress/x/s/h/dum1035pink-dumdaar-com-l-original-imaed4vzfugqa44z.jpeg,,Dumdaar.com Women's Gathered Dress,9f6a7387b1ef398d34fb0fb074afe779,http://www.flipkart.com/dumdaar-com-women-s-gathered-dress/p/itmed6fkft9wubwe?pid=DREED6FKBQXMDWGM,1699,9f6a7387b1ef398d34fb0fb074afe779
100% Rayon,Women's,Pack of 1,Solid,,Fit and Flare,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Wardtrobe Dresses,http://img6a.flixcart.com/image/dress/n/a/6/sml-645-blue-44-wardtrobe-44-original-imaehh999zcqj3gu.jpeg,Wardtrobe,Wardtrobe Women's Fit and Flare Dress,e81a837ddaf0546acb7b3e30db2e708e,http://www.flipkart.com/wardtrobe-women-s-fit-flare-dress/p/itmehphfmnyqdyk6?pid=DREEHPHFDS9FVTDC,899,e81a837ddaf0546acb7b3e30db2e708e
American Crepe,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mineral Dresses,http://img5a.flixcart.com/image/dress/7/r/4/ui15a-159-wmx-black-printed-mineral-xl-original-imaehgkabhrgvkc3.jpeg,Mineral,Mineral Women's Maxi Dress,c8a09d8134c6c403438ad51486348243,http://www.flipkart.com/mineral-women-s-maxi-dress/p/itmehgnehnfjh5fz?pid=DREEHGNFWEACYXHJ,2699,c8a09d8134c6c403438ad51486348243
100% Cotton,Women's,Pack of 1,Floral Print,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Abony Dresses,http://img5a.flixcart.com/image/dress/4/8/q/gcwf207-abony-l-original-imaehdkvngbeerru.jpeg,Abony,Abony Women's Gathered Dress,8148fd342f7f323ed4fa5814ec5036d0,http://www.flipkart.com/abony-women-s-gathered-dress/p/itmehdpffq9zyr95?pid=DREEHDPFSHXPKPBR,798,8148fd342f7f323ed4fa5814ec5036d0
"Cotton, Viscose",Women's,,Striped,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Orous Dresses,http://img5a.flixcart.com/image/dress/e/t/f/1-1-haddy-aqua-orous-m-original-imae9bfrhmvtmcyd.jpeg,,Orous Women's Sheath Dress,83efe7ea799987f5a01b0ef303d84201,http://www.flipkart.com/orous-women-s-sheath-dress/p/itme9g298h9wh8zx?pid=DREE9G29SX3EENC9,1499,83efe7ea799987f5a01b0ef303d84201
Blend,Women's,,Striped,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Soie Dresses,http://img5a.flixcart.com/image/dress/5/x/v/5613-green-f-soie-m-original-imaefdxzg9esma7n.jpeg,,Soie Women's High Low Dress,09c85151b7a29fce20aa4b3ad6731c49,http://www.flipkart.com/soie-women-s-high-low-dress/p/itmefjfqeq9v8cda?pid=DREEFJFQVFKAUFHH,1690,09c85151b7a29fce20aa4b3ad6731c49
Cotton,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Passion By Pragya Dresses,http://img5a.flixcart.com/image/dress/b/d/z/1-1-pg087-passion-by-pragya-free-original-imaeajmvzgdyntus.jpeg,,Passion By Pragya Women's Maxi Dress,e0e594a90ea91e45209c945db1cc8308,http://www.flipkart.com/passion-pragya-women-s-maxi-dress/p/itmeajtkff8ezw4v?pid=DREEAJTKNPH2HBDZ,1859,e0e594a90ea91e45209c945db1cc8308
Viscose Jersey,Women's,Pack of 1,Floral Print,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Nun Dresses,http://img6a.flixcart.com/image/dress/r/f/z/1-1-nundr5022-red-nun-l-original-imae64pnxfzbddyp.jpeg,,Nun Women's Sheath Dress,b42f6e13e27b7b4802e7dfa5fff7835e,http://www.flipkart.com/nun-women-s-sheath-dress/p/itme669q6ch5zfh7?pid=DREE664ZRNGWSDAA,1795,b42f6e13e27b7b4802e7dfa5fff7835e
Poly Georgette,Women's,Pack of 1,Floral Print,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Oviya Dresses,http://img6a.flixcart.com/image/dress/g/d/j/1-1-eldr02-black-oviya-s-original-imaec6sh3ezahf9u.jpeg,,Oviya Women's Layered Dress,35755084b00fc54011f793120fda0ca6,http://www.flipkart.com/oviya-women-s-layered-dress/p/itmec88jkkrn8qsx?pid=DREEC88GXMHEQMRN,1399,35755084b00fc54011f793120fda0ca6
Chambray,Women's,Pack of 1,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Sbuys Dresses,http://img5a.flixcart.com/image/dress/h/v/z/1-1-7068-sbuys-s-original-imae9ckphdnhvcyf.jpeg,,Sbuys Women's Gathered Dress,2ddd3ea0819af41f125cc078aed0cf6c,http://www.flipkart.com/sbuys-women-s-gathered-dress/p/itme9cpnwvafhhcg?pid=DREE9CPNYFZP9HRA,1599,2ddd3ea0819af41f125cc078aed0cf6c
Lycra,Women's,,Printed,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Posh Dresses,http://img6a.flixcart.com/image/dress/r/g/3/105-posh-xl-original-imaduh49txsfhd5w.jpeg,,Posh Women's Layered Dress,dc226a5c9e8277ca16c6b9503964e500,http://www.flipkart.com/posh-women-s-layered-dress/p/itmdukh45pm5kh7j?pid=DREDUKH4YHWHURG3,998,dc226a5c9e8277ca16c6b9503964e500
Georgette,Women's,,Solid,,Bubble,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,StyleAva Dresses,http://img6a.flixcart.com/image/dress/h/c/y/1-1-ff3-3kw0006-styleava-m-original-imae78xkbpwfyjsw.jpeg,,StyleAva Women's Bubble Dress,723f21d34e7804d03a50b1ebf45376f2,http://www.flipkart.com/styleava-women-s-bubble-dress/p/itme7b6yrxdhghnn?pid=DREE7B6YJ2ZHHPMN,1399,723f21d34e7804d03a50b1ebf45376f2
Cotton Voile,Women's,,Floral Print,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Nasha Dresses,http://img6a.flixcart.com/image/dress/b/f/z/nasha-02-a-nasha-m-1100x1360-imaefxm5uuttzpe9.jpeg,,Nasha Women's Gathered Dress,fb187233117b2eae554f47d2745fa954,http://www.flipkart.com/nasha-women-s-gathered-dress/p/itmefyyfnyrrk65r?pid=DREEFYYFD6YWGBFZ,1149,fb187233117b2eae554f47d2745fa954
Poly Crepe,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Sierra Dresses,http://img5a.flixcart.com/image/dress/h/r/n/1-1-sierra-red-plane-dyed-moss-crepe-dress-sierra-xl-original-imae6wvz6wkcgj6c.jpeg,,Sierra Women's Shift Dress,703247e0a30c0afaa6c884e6a04a4e17,http://www.flipkart.com/sierra-women-s-shift-dress/p/itme74xgbcnsgkmz?pid=DREE74XGZFU3T8TH,1195,703247e0a30c0afaa6c884e6a04a4e17
Polyester,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Phenomena Dresses,http://img5a.flixcart.com/image/dress/z/v/g/1-1-dr-09-phenomena-s-original-imae77va3kak2c6z.jpeg,,Phenomena Women's Maxi Dress,03976cd3512617a73533965d23a944f7,http://www.flipkart.com/phenomena-women-s-maxi-dress/p/itme7azz527ymhsq?pid=DREE7AZZQNEE9ZVG,1599,03976cd3512617a73533965d23a944f7
Crepe,Women's,,Printed,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Stilestreet Dresses,http://img5a.flixcart.com/image/dress/z/c/7/st-ss13-89-stilestreet-m-original-imadrctc86pbabbv.jpeg,,Stilestreet Women's Layered Dress,106efff3f3b8501597f9d2fd53ad9990,http://www.flipkart.com/stilestreet-women-s-layered-dress/p/itmdrcrg5hzw3qsd?pid=DREDRCRHDXQNK4RB,1429,106efff3f3b8501597f9d2fd53ad9990
Cotton Crochet and Polyester Knit,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Orous Dresses,http://img6a.flixcart.com/image/dress/9/g/n/1-1-coral-veffy-orous-s-original-imaeac5vymngnggb.jpeg,,Orous Women's Shift Dress,6f44a140cf24c8a0f5826135c9ee92c3,http://www.flipkart.com/orous-women-s-shift-dress/p/itmeajzt69zy5vhd?pid=DREEAJZTXE4GCAHP,1865,6f44a140cf24c8a0f5826135c9ee92c3
Nylon,Women's,Pack of 1,Embroidered,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miway Dresses,http://img6a.flixcart.com/image/dress/h/r/8/mwdr-52-miway-m-original-imaejgf83ydwfsdg.jpeg,Miway,Miway Women's Shift Pink Dress,296d7d55e9510e127304862456f90f81,http://www.flipkart.com/miway-women-s-shift-pink-dress/p/itmejh6jzhrcfhan?pid=DREEJH6JBSHH6XPZ,3199,296d7d55e9510e127304862456f90f81
Cotton Polyester,Women's,Pack of 1,Printed,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Fabiya Dresses,http://img5a.flixcart.com/image/dress/w/k/n/fb-sac001-fabiya-4xl-original-imaejgg99fkbcfy6.jpeg,Fabiya,"Fabiya Women's Sheath Blue, Red Dress",0931863cfe3d6f0bdf9490b0df064293,http://www.flipkart.com/fabiya-women-s-sheath-blue-red-dress/p/itmejnnuanzdxned?pid=DREEJNNUSHNWN4ZG,1698,0931863cfe3d6f0bdf9490b0df064293
Cotton,Women's,,Embroidered,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,U&F Dresses,http://img5a.flixcart.com/image/dress/q/8/r/1-1-14030-1-u-f-xl-original-imaebwrms3w4ycjt.jpeg,,U&F Women's Maxi Dress,64fe4b78a4df27e8fe0ef90913cb03ac,http://www.flipkart.com/u-f-women-s-maxi-dress/p/itmebx4mwxjvgrdg?pid=DREEBX4MTZTJ9Q8R,1299,64fe4b78a4df27e8fe0ef90913cb03ac
Cotton Stretch,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Divaat Dresses,http://img6a.flixcart.com/image/dress/y/g/c/d0052-black-divaat-s-original-imaedtjnwvwqucp4.jpeg,,Divaat Women's Shift Dress,fcbffac0272cfc72614a475168ba11c3,http://www.flipkart.com/divaat-women-s-shift-dress/p/itmedtnsj5fzwfqs?pid=DREEDTNSBYHA9YGC,2250,fcbffac0272cfc72614a475168ba11c3
"95% Cotton, 5% Lycra",Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Afamado Dresses,http://img6a.flixcart.com/image/dress/m/r/n/1-1-af-1004-afamado-l-1000x1000-imaebybhxzwdu5du.jpeg,,Afamado Women's Shift Dress,6dc20a500a7c3996edcb81b5ef2b666d,http://www.flipkart.com/afamado-women-s-shift-dress/p/itmebfx7kwwrhvya?pid=DREEBFX7ADUDMZWS,2520,6dc20a500a7c3996edcb81b5ef2b666d
Cotton Stretch,Women's,Pack of 1,Solid,,Peplum,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Divaat Dresses,http://img6a.flixcart.com/image/dress/x/u/g/d0063-black-divaat-m-original-imaedtjnusdvga9g.jpeg,,Divaat Women's Peplum Dress,70513f93fc5179bef105332a1c1ce487,http://www.flipkart.com/divaat-women-s-peplum-dress/p/itmedtnsy8gscjby?pid=DREEDTNSGFUFPYBQ,2700,70513f93fc5179bef105332a1c1ce487
Polyester,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Vero Moda Dresses,http://img5a.flixcart.com/image/dress/h/e/z/10153508-vero-moda-l-original-imaehyyycurjfvjy.jpeg,Vero Moda,Vero Moda Women's Maxi Dress,463af70c4514e92f8614cdb4585043ca,http://www.flipkart.com/vero-moda-women-s-maxi-dress/p/itmehfym79q5ywhs?pid=DREEHFYMH2TU4G5V,2495,463af70c4514e92f8614cdb4585043ca
Polyester,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Vero Moda Dresses,http://img5a.flixcart.com/image/dress/e/3/m/10163156-vero-moda-s-original-imaehyyfemgt9mcu.jpeg,Vero Moda,Vero Moda Women's Shift Dress,83bf8fd064709464e216e35493e642e7,http://www.flipkart.com/vero-moda-women-s-shift-dress/p/itmehfymfteq9ywf?pid=DREEHFYM6BFM8XJ2,2695,83bf8fd064709464e216e35493e642e7
Viscose,Women's,Pack of 1,Self Design,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,AHAANA FASHION Dresses,http://img6a.flixcart.com/image/dress/4/m/n/drs1026-pnk-ahaana-fashion-xl-original-imaeytsaqk3z7npv.jpeg,AHAANA FASHION,AHAANA FASHION Women's Shift Dress,c2ccbd93cd667915b241e476f97a9525,http://www.flipkart.com/ahaana-fashion-women-s-shift-dress/p/itmeh7ygnhvyra3p?pid=DREEH7YJQESC9GMV,1899,c2ccbd93cd667915b241e476f97a9525
Polyester,Women's,Pack of 1,Floral Print,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Vero Moda Dresses,http://img5a.flixcart.com/image/dress/h/h/g/10163149-vero-moda-s-original-imaehbq9resxwehk.jpeg,Vero Moda,Vero Moda Women's Maxi Dress,c386803d67a34e889c409dc12c42c59c,http://www.flipkart.com/vero-moda-women-s-maxi-dress/p/itmehfymh8pd6qnd?pid=DREEHFYMBXCFZ5HB,3295,c386803d67a34e889c409dc12c42c59c
Crepe,Women's,Pack of 1,Geometric Print,,Fit and Flare,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Zeroed Dresses,http://img5a.flixcart.com/image/dress/g/u/g/zrd0057-zeroed-m-original-imaehcndykavyuk5.jpeg,Zeroed,Zeroed Women's Fit and Flare Dress,7193ae4e7f63bdae2b0a035ee9cd4dd7,http://www.flipkart.com/zeroed-women-s-fit-flare-dress/p/itmehczdrhy9eayc?pid=DREEHCZDNCMHZGUG,1999,7193ae4e7f63bdae2b0a035ee9cd4dd7
Georgette,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Motif Dresses,http://img5a.flixcart.com/image/dress/h/r/z/1-1-a722-motif-s-original-imaec4mnwfszj8gx.jpeg,,Motif Women's Shift Dress,308e7d554203f57c1f70b4f6b75985fe,http://www.flipkart.com/motif-women-s-shift-dress/p/itmec8atkpmmrc5h?pid=DREEC8AVCH2NGVPG,1360,308e7d554203f57c1f70b4f6b75985fe
Crepe,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,jiiah Dresses,http://img5a.flixcart.com/image/dress/k/v/e/1-1-peach-008-jiiah-m-original-imaecgt7ygbnzqy2.jpeg,,jiiah Women's Shift Dress,f93035a3f7b7e5741069d607a4e1e8fc,http://www.flipkart.com/jiiah-women-s-shift-dress/p/itmecgzjhsfefp5f?pid=DREECGZJQUYYNJAP,999,f93035a3f7b7e5741069d607a4e1e8fc
poly crepe,Women's,Pack of 1,Printed,,Peplum,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/f/a/y/1-1-15136peach-meiro-xl-original-imae87cfbgxzxy9b.jpeg,,Meiro Women's Peplum Dress,a38b734230d333c05a51645b2677d23f,http://www.flipkart.com/meiro-women-s-peplum-dress/p/itme87gtdqhhnnuy?pid=DREE87GTRP86YGTZ,1399,a38b734230d333c05a51645b2677d23f
Polyester,Women's,,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,La Arista Dresses,http://img5a.flixcart.com/image/dress/h/h/m/apld013-la-arista-xs-original-imaeygkpsrtmfhzy.jpeg,,La Arista Women's Shift Dress,e509a0c4907575322703da0dd8654d89,http://www.flipkart.com/la-arista-women-s-shift-dress/p/itmey9pffzt7qrh4?pid=DREEY9PFYPZY8P7Z,1349,e509a0c4907575322703da0dd8654d89
Georgette,Women's,,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meee Dresses,http://img6a.flixcart.com/image/dress/g/y/u/dr-010mustard-meee-m-original-imaeysqbcdhz8bfa.jpeg,,Meee Women's Maxi Dress,c5dda45f52209a20194de7d2a4e33166,http://www.flipkart.com/meee-women-s-maxi-dress/p/itmeypkzztfqcnws?pid=DREEYPKZ9VUXAGYU,1495,c5dda45f52209a20194de7d2a4e33166
Georgette,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Maya Apparels Dresses,http://img5a.flixcart.com/image/dress/u/h/d/dre911-maya-apparels-free-original-imae4422wfm3hzhn.jpeg,,Maya Apparels Women's Gathered Dress,8b6ddae7a9564a45a1b6579bbad29f56,http://www.flipkart.com/maya-apparels-women-s-gathered-dress/p/itme45zdy22gs8nc?pid=DREE45ZDTGSRFUHD,1550,8b6ddae7a9564a45a1b6579bbad29f56
Rayon,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Indi Bargain Dresses,http://img5a.flixcart.com/image/dress/v/q/m/1-1-108maroon-indi-bargain-free-original-imae5zh2768bhchk.jpeg,,Indi Bargain Women's Maxi Dress,4e8268c046e007e434728bddbe5bdf96,http://www.flipkart.com/indi-bargain-women-s-maxi-dress/p/itme5zcfzszzzqgz?pid=DREE5ZCFEGRDRVQM,2249,4e8268c046e007e434728bddbe5bdf96
Georgette,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,L'appel Du Vide Dresses,http://img5a.flixcart.com/image/dress/c/z/w/1-1-spdr-bl-07-l-appel-du-vide-xxl-original-imaebgqgudjytzm2.jpeg,,L'appel Du Vide Women's Shift Dress,85ea9d514a9b4d0b298681ac03b50927,http://www.flipkart.com/l-appel-du-vide-women-s-shift-dress/p/itmebmb3jq5ygpen?pid=DREEBMB4XAWWEYCT,1699,85ea9d514a9b4d0b298681ac03b50927
Cotton,Women's,Pack of 1,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/d/d/q/15106multi-meiro-xl-original-imae46q4bbddtsgn.jpeg,,Meiro Women's Empire Waist Dress,7d7c51be47fff9e46b7828b1959f7095,http://www.flipkart.com/meiro-women-s-empire-waist-dress/p/itme4cytbnudec6c?pid=DREE4CYTNEDYVGMP,1599,7d7c51be47fff9e46b7828b1959f7095
Cotton,Women's,,Solid,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,I Am For You Dresses,http://img6a.flixcart.com/image/dress/d/u/9/imfu-679-i-am-for-you-s-1100x1360-imaduzthwwm7enn9.jpeg,,I Am For You Women's Empire Waist Dress,f782ad631cd134175c2d9f832ad85fcc,http://www.flipkart.com/am-you-women-s-empire-waist-dress/p/itmduzrkudfsgagj?pid=DREDUZRK9ZWWFDU9,1399,f782ad631cd134175c2d9f832ad85fcc
Polyester,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Heart Made Dresses,http://img6a.flixcart.com/image/dress/w/6/x/1-1-hmd-87-c-heart-made-s-original-imaebzywukcax5h6.jpeg,,Heart Made Women's Gathered Dress,ba63f03f976d3bf8d640d5387afc8d4b,http://www.flipkart.com/heart-made-women-s-gathered-dress/p/itmebpvddhnqhqpw?pid=DREEBPVEPGQ4DN5V,1450,ba63f03f976d3bf8d640d5387afc8d4b
Georgette,Women's,Pack of 1,Solid,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Maggie Dresses,http://img6a.flixcart.com/image/dress/c/h/t/1-1-mg233-maggie-38-original-imaeccanzz4yhvwg.jpeg,,Maggie Women's High Low Dress,00353b508276e6f860b5760654a0bb65,http://www.flipkart.com/maggie-women-s-high-low-dress/p/itmecuy8mzdmetvy?pid=DREECUY9TEUTKCHT,2799,00353b508276e6f860b5760654a0bb65
Georgette,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Motif Dresses,http://img6a.flixcart.com/image/dress/h/h/d/1-1-a721-motif-xl-original-imaeb2h9zp6ux6cd.jpeg,,Motif Women's Shift Dress,09d3265aaed6c4763785e62adaa8c49e,http://www.flipkart.com/motif-women-s-shift-dress/p/itmeb2xddgzfggzv?pid=DREEB2XDPCBRTVHF,1620,09d3265aaed6c4763785e62adaa8c49e
Synthetic,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Jealous 21 Dresses,http://img5a.flixcart.com/image/dress/3/x/2/cu0036-red-f-jealous-21-40-original-imadwyfp24m39geq.jpeg,,Jealous 21 Women's Gathered Dress,ffe6c21baa0435a39b9ac2526b849664,http://www.flipkart.com/jealous-21-women-s-gathered-dress/p/itmdvzkgdzvzj5zm?pid=DREDX8YF3YEJHEXD,1599,ffe6c21baa0435a39b9ac2526b849664
Cotton,Women's,,Floral Print,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,India Inc Dresses,http://img5a.flixcart.com/image/dress/h/q/h/1-1-20089bwn-india-inc-xl-original-imaeapjuesfk59gg.jpeg,,India Inc Women's Gathered Dress,9a9a09ad8ee6aac91342cf92d35cfe9d,http://www.flipkart.com/india-inc-women-s-gathered-dress/p/itmeap5yzay7bsbq?pid=DREEAP5YM27GQUFZ,1299,9a9a09ad8ee6aac91342cf92d35cfe9d
Georgette,Women's,Pack of 1,Floral Print,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Honey by Pantaloons Dresses,http://img5a.flixcart.com/image/dress/y/q/z/1-1-301188743navy-honey-by-pantaloons-xs-original-imaeaghuhfahcqnt.jpeg,,Honey by Pantaloons Women's Empire Waist Dress,ccc2674e1d40db11ccbe7c95c2b1cf88,http://www.flipkart.com/honey-pantaloons-women-s-empire-waist-dress/p/itmeahqzvbfqrzhy?pid=DREEAHQZQEKXFHNX,1199,ccc2674e1d40db11ccbe7c95c2b1cf88
Georgette,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,L'appel Du Vide Dresses,http://img5a.flixcart.com/image/dress/y/u/c/1-1-spdr-b-14-l-appel-du-vide-xl-original-imaebgqjjqnpkczd.jpeg,,L'appel Du Vide Women's Shift Dress,b1350e3fa636252a6ae8f87ffaf66f6d,http://www.flipkart.com/l-appel-du-vide-women-s-shift-dress/p/itmebmb33gfagqj3?pid=DREEBMB4YH8FUSHX,2999,b1350e3fa636252a6ae8f87ffaf66f6d
Polyester,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img6a.flixcart.com/image/dress/j/e/c/1-1-lbd545-ladybug-l-original-imaebzy7fpgggrsg.jpeg,,Ladybug Women's Shift Dress,97274c413467ba1f2f72e9806914c49f,http://www.flipkart.com/ladybug-women-s-shift-dress/p/itmebwsuyqgfpamy?pid=DREEBWSUYNPFACWZ,999,97274c413467ba1f2f72e9806914c49f
Polyester,Women's,Pack of 1,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Karyn Dresses,http://img6a.flixcart.com/image/dress/m/k/d/1-1-klc-250-gr-l-karyn-l-original-imae9zpfvfr5ueg3.jpeg,,Karyn Women's Empire Waist Dress,5021cbe2cc3d7e0f4ac49b036cc3458a,http://www.flipkart.com/karyn-women-s-empire-waist-dress/p/itmeayygmsqffvfs?pid=DREEAYYGXSKPZMKD,1299,5021cbe2cc3d7e0f4ac49b036cc3458a
Reyon,Women's,,Floral Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kaira Dresses,http://img6a.flixcart.com/image/dress/z/g/v/1-1-4003638a-kaira-xl-original-imaeam7hhkb2ynjv.jpeg,,Kaira Women's Shift Dress,b71adba37fee898713a2ad45b5d49127,http://www.flipkart.com/kaira-women-s-shift-dress/p/itmeazac24d8xnyd?pid=DREEAZAC72AY8ZGV,910,b71adba37fee898713a2ad45b5d49127
Cotton,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img6a.flixcart.com/image/dress/a/n/e/1-1-lbd526-ladybug-s-original-imae89ehmkvh2jrt.jpeg,,Ladybug Women's Shift Dress,49d90d2757756ad6965bc03ffdbc0acc,http://www.flipkart.com/ladybug-women-s-shift-dress/p/itme8anhmj8ug4sx?pid=DREE8ANHRUEEHQGZ,1199,49d90d2757756ad6965bc03ffdbc0acc
"Lining, Shell - Silk, Cotton",Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img6a.flixcart.com/image/dress/u/z/m/lbd330-ladybug-m-original-imadtxuhrrksxtfa.jpeg,,Ladybug Women's Gathered Dress,dcbe29a854c321300113026106aeeb90,http://www.flipkart.com/ladybug-women-s-gathered-dress/p/itmdqxbb4qhhzcus?pid=DREDQXBBVXSNUHGE,899,dcbe29a854c321300113026106aeeb90
